individuo_id,area_foliar_individual_36,comprimento_foliar_36,largura_foliar_36,area_foliar_especifica_36,potencial_hidrico_foliar_36,ima_36,progenie
551.0,31.76,13.04,4.09,100.03,-2.68,15.182,157.0
153.0,,,,,,29.673,153.0
153.0,63.13,15.33,6.4,81.04,-2.12,29.673,153.0
1554.0,47.0,16.24,4.53,62.98,-1.76,29.4126,153.0
4242.0,37.96,14.92,3.95,76.15,,33.0941,37.0
4318.0,56.42,15.86,5.07,91.59,-1.59,34.319,44.0
4376.0,58.85,14.0,6.49,109.7,,23.2436,60.0
4356.0,45.77,18.01,4.53,75.66,-2.31,16.9765,64.0
4295.0,27.37,13.32,3.37,94.73,-0.49,20.7962,92.0
4240.0,43.75,13.85,5.25,110.23,-1.93,17.5198,110.0
4330.0,51.11,16.53,4.59,81.58,-1.27,30.0576,141.0
4256.0,39.1,14.07,4.6,100.39,-1.57,31.4321,13.0
4234.0,20.48,12.64,2.49,105.43,-1.63,16.5171,145.0
4283.0,34.78,18.0,3.08,73.06,-2.51,18.4874,146.0
4181.0,33.11,9.46,5.06,100.32,-2.03,5.9758,163.0
4310.0,25.45,11.01,3.34,74.86,,23.4576,169.0
4384.0,47.86,16.17,4.2,99.92,-2.39,27.269,20.0
4384.0,,,,,,27.269,20.0
4204.0,37.56,16.47,3.89,102.21,-1.64,29.4177,202.0
4378.0,46.71,18.94,3.78,113.92,-2.28,11.8527,208.0
4349.0,38.84,15.99,3.69,104.41,-1.79,18.263,214.0
4248.0,56.42,16.01,5.14,80.05,-2.58,32.556,21.0
