data,temperatura,umidade,preciptacao,idade
2020-08-16,25.103819444444444,54.201388888888886,0.0,18
2020-09-16,26.58888888888889,45.989583333333336,0.0,18
2020-01-17,28.32986111111111,70.99305555555556,0.0,18
2020-10-17,26.06076388888889,64.18055555555556,0.0,30
2020-11-17,26.285849056603777,77.08490566037736,0.0,30
2020-12-17,26.398263888888888,68.56944444444444,0.0,30
2020-02-17,26.398958333333333,75.96180555555556,0.0,18
2020-03-17,25.334027777777777,73.73611111111111,0.0,18
2020-04-17,24.75173611111111,82.86111111111111,0.0,18
2020-05-17,22.790972222222223,79.22222222222223,0.0,18
2020-06-17,21.337152777777778,71.25347222222223,0.0,18
2020-07-17,21.927430555555556,66.57638888888889,0.0,18
2020-08-17,26.556597222222223,52.166666666666664,0.0,18
2020-09-17,25.734722222222224,46.12847222222222,0.0,18
