individuo_id,potencial_hidrico_foliar_18,area_foliar_especifica_18,area_foliar_individual_18,comprimento_foliar_18,largura_foliar_18,ima_18,densidade_estomatica_abaxial_18,densidade_estomatica_adaxial_18,progenie
1915.0,-3.2,88.42,30.64,14.15,3.6,15.1755,398.7,0.0,81.0
2579.0,-2.36,,,14.18,3.08,23.5341,421.5,0.0,81.0
3259.0,-2.68,76.07,25.48,12.64,3.37,12.739,425.39,0.0,81.0
3905.0,-2.51,86.16,26.6,10.01,3.69,11.0682,352.55,75.38,81.0
1252.0,-2.82,87.89,44.53,16.33,4.4,16.1513,0.0,0.0,83.0
2496.0,-2.4,77.9,5.2,13.21,4.66,17.076,0.0,0.0,83.0
3248.0,-2.62,81.42,47.57,15.31,5.47,17.5631,0.0,0.0,83.0
1209.0,-1.9,,,,,23.2276,435.32,119.95,84.0
1863.0,-2.33,75.72,39.17,15.64,3.98,23.7936,369.23,0.0,84.0
2564.0,-1.8,85.65,44.84,12.1,3.1,15.3592,352.55,61.17,84.0
3081.0,-2.15,71.48,58.65,16.98,4.01,3.8237,387.16,0.0,84.0
3767.0,-2.77,88.61,36.92,14.1,3.82,21.0042,394.81,130.68,84.0
536.0,-2.76,93.86,53.97,15.82,5.09,16.9327,293.05,0.0,88.0
1193.0,-3.51,116.91,39.86,12.56,5.13,11.5809,655.05,0.0,88.0
1822.0,-3.1,111.93,32.21,10.88,4.14,23.5256,412.6,0.0,88.0
2703.0,,,,,,13.693,312.51,0.0,88.0
3244.0,,159.3,20.1,7.6,4.42,0.0514,576.46,0.0,88.0
3872.0,-2.46,106.56,35.11,11.82,4.71,21.5605,496.57,0.0,88.0
621.0,-3.34,105.82,36.8,15.7,4.11,13.5982,420.94,0.0,94.0
1146.0,-2.61,72.11,56.44,18.55,4.42,24.6039,465.43,118.44,94.0
1961.0,-2.08,76.79,66.57,18.39,5.54,32.2532,467.65,0.0,94.0
2507.0,-2.22,87.68,37.15,12.71,4.66,12.3842,479.89,0.0,94.0
3147.0,-2.78,80.95,37.88,12.55,4.81,20.8681,515.48,125.67,94.0
3816.0,-2.71,66.41,41.17,16.44,4.07,20.6768,474.33,0.0,94.0
520.0,-2.54,88.45,55.68,16.1,5.33,28.3418,415.46,0.0,95.0
1233.0,-2.58,94.88,27.1,12.33,4.0,12.8115,381.83,0.0,95.0
1849.0,-3.04,85.94,57.01,18.4,4.76,21.5487,0.0,0.0,95.0
2543.0,-2.88,115.94,36.07,14.45,4.25,18.3346,0.0,0.0,95.0
3163.0,-2.63,101.16,40.07,14.95,2.1,22.5223,381.83,0.0,95.0
3790.0,-2.62,,45.02,15.74,4.1,21.4289,0.0,0.0,95.0
585.0,-2.15,99.35,22.13,12.1,1.01,0.4665,0.0,0.0,98.0
1215.0,-2.57,93.78,29.47,13.15,3.83,15.35,0.0,0.0,98.0
1922.0,-2.87,105.89,40.25,12.1,5.08,12.0271,501.58,0.0,98.0
2468.0,-2.54,114.34,31.1,12.93,4.05,13.6973,549.89,0.0,98.0
3223.0,-2.35,109.19,47.91,14.1,5.6,14.3559,0.0,0.0,98.0
3918.0,-2.74,108.05,38.96,13.43,3.01,11.23,463.76,0.0,98.0
513.0,,93.46,43.63,15.1,4.01,24.5894,241.89,98.42,110.0
2658.0,,83.36,15.2,13.34,5.59,21.2711,420.23,0.0,110.0
1801.0,-2.8,91.78,39.21,12.01,4.16,17.2434,399.26,0.0,110.0
2495.0,-2.27,91.92,33.69,15.02,4.55,15.4086,343.65,105.1,110.0
3160.0,-2.5,87.08,44.56,17.01,4.65,23.9783,410.1,0.0,110.0
3901.0,-2.34,99.87,46.58,12.01,4.97,16.4129,0.0,0.0,110.0
506.0,-2.49,93.17,38.05,15.52,4.45,20.3051,248.01,0.0,123.0
1145.0,-2.41,99.9,44.96,12.77,5.59,20.4578,386.47,0.0,123.0
1950.0,-2.29,94.88,39.64,13.87,3.01,24.0611,368.12,0.0,123.0
2472.0,-1.77,91.03,37.92,13.43,4.41,10.5704,453.2,0.0,123.0
3117.0,-1.98,76.13,28.72,15.3,2.1,7.9068,289.16,0.0,123.0
3775.0,-2.82,,,,,19.1944,411.49,0.0,123.0
651.0,-1.92,71.07,34.82,17.98,3.35,25.0837,0.0,0.0,134.0
1147.0,-3.1,110.01,50.48,16.02,4.71,3.3341,369.39,52.43,134.0
1868.0,-2.98,128.99,23.15,8.15,4.16,0.0,357.55,206.3,134.0
2469.0,-2.16,77.3,21.77,7.99,3.96,0.8481,366.39,0.0,134.0
2963.0,,,,,,0.795,0.0,0.0,134.0
3846.0,-3.29,,,,,7.2193,0.0,0.0,134.0
625.0,-2.02,74.06,52.73,17.36,4.26,4.5996,241.49,52.43,141.0
1243.0,-2.42,92.07,28.36,12.06,3.69,15.4065,564.01,0.0,141.0
1898.0,-2.59,90.43,47.83,17.53,4.12,11.3614,546.8,0.0,141.0
2606.0,-2.92,83.05,28.65,12.1,3.58,18.3026,296.94,0.0,141.0
3209.0,-2.78,91.64,32.29,15.39,2.1,18.3856,421.5,203.52,141.0
3842.0,-2.72,87.79,20.7,7.01,2.1,0.0076,537.53,0.0,141.0
627.0,-3.65,113.52,43.01,14.42,4.55,6.9904,389.81,0.0,143.0
1160.0,-3.62,100.24,36.89,16.03,2.1,10.3431,278.59,0.0,143.0
1870.0,-2.32,81.94,33.7,11.1,4.05,20.9636,0.0,0.0,143.0
2605.0,-2.76,101.34,26.09,10.42,3.72,0.1061,0.0,0.0,143.0
3243.0,-2.56,90.1,34.98,15.56,3.97,27.6363,367.01,0.0,143.0
3890.0,-2.79,120.51,30.01,15.25,3.61,9.2694,360.33,66.11,143.0
444.0,,111.41,1.02,12.4,4.43,15.7497,0.0,0.0,145.0
1272.0,-2.23,,,19.52,4.54,15.2497,221.87,107.88,145.0
