individuo_id,potencial_hidrico_foliar_30,area_foliar_individual_30,area_foliar_especifica_30,comprimento_foliar_30,largura_foliar_30,densidade_estomatica_adaxial_30,densidade_estomatica_abaxial_30,ima_30,progenie
4283.0,-4.06,49.52,76.66,20.56,3.46,0.0,0.0,13.7030018,146.0
1224.0,-3.92,24.74,89.97,14.25,2.97,155.95,296.73,7.93036613,146.0
1777.0,-4.06,34.06,84.84,12.33,4.04,0.0,0.0,14.0541772,146.0
716.0,-4.19,49.31,72.24,19.07,4.28,123.56,284.48,18.3674226,146.0
464.0,-2.73,65.79,63.87,17.39,5.74,0.0,0.0,20.6483246,156.0
2536.0,-2.58,41.08,96.77,14.17,4.44,0.0,0.0,14.9963808,156.0
156.0,-2.33,36.62,93.52,14.09,4.54,0.0,123.13,22.5374667,156.0
1086.0,-3.18,34.06,73.96,13.45,4.3,0.0,0.0,32.9708531,156.0
1120.0,-2.42,36.11,86.6,12.71,4.36,0.0,0.0,19.1826269,162.0
2460.0,-3.94,29.07,86.84,12.25,3.67,0.0,331.06,9.44982474,162.0
162.0,-3.27,29.95,80.65,13.19,3.63,0.0,0.0,25.2430976,162.0
1768.0,-3.57,30.27,110.09,10.04,4.53,510.85,768.8,12.3810449,163.0
3106.0,-3.18,29.19,98.3,8.73,4.98,0.0,0.0,16.1378735,163.0
721.0,-2.8,40.42,82.49,15.69,3.84,0.0,199.56,19.2813253,163.0
2613.0,-4.13,44.89,77.59,18.61,3.84,217.49,369.23,16.5820352,168.0
3182.0,-3.49,36.2,94.14,10.91,4.9,112.96,274.81,13.0566338,168.0
723.0,-3.05,44.72,76.85,18.9,3.35,0.0,0.0,14.9963808,168.0
883.0,-3.41,51.24,87.44,18.75,4.36,0.0,0.0,32.1970449,168.0
1111.0,-4.36,22.93,87.86,13.57,2.56,115.21,255.42,10.6060854,177.0
3218.0,-4.52,35.93,77.39,15.06,3.72,0.0,0.0,16.1378735,177.0
424.0,-4.38,24.58,81.63,12.39,3.25,0.0,0.0,38.389089,177.0
490.0,-4.66,31.41,92.25,11.99,3.96,0.0,534.63,6.47060336,179.0
2444.0,-4.58,29.37,85.97,15.21,2.84,0.0,0.0,17.2753141,179.0
841.0,-2.62,48.75,75.38,13.15,5.49,0.0,0.0,2.68908191,179.0
617.0,-4.47,21.72,,14.17,2.34,495.85,648.15,16.6502155,188.0
688.0,-2.87,37.13,,13.87,4.32,0.0,285.33,16.2159406,188.0
485.0,-2.95,47.78,69.5,22.47,3.45,0.0,0.0,31.9462931,199.0
1234.0,-3.14,39.45,83.01,18.15,3.5,0.0,0.0,14.7079889,199.0
1841.0,-3.8,40.64,82.1,19.68,3.54,66.24,176.63,34.8769134,199.0
2518.0,-5.28,53.67,123.86,14.01,5.81,128.23,225.03,17.2134426,199.0
3832.0,-3.84,47.67,65.21,18.96,3.75,72.18,112.52,10.5207353,199.0
1788.0,-3.91,52.39,71.63,18.49,4.23,0.0,0.0,20.4834703,202.0
3121.0,-3.3,35.75,67.58,18.86,3.26,0.0,0.0,10.7429586,202.0
489.0,-3.32,20.13,97.87,7.97,3.78,334.01,377.89,13.8970913,206.0
1893.0,-3.81,23.26,115.29,9.95,3.54,0.0,493.99,9.26779127,206.0
2614.0,-3.81,26.33,110.19,9.87,4.3,0.0,500.73,14.275401,206.0
3088.0,-4.51,30.31,116.14,12.86,3.89,0.0,0.0,3.36314289,206.0
206.0,-4.62,23.41,87.71,8.65,4.2,0.0,231.83,18.436569,206.0
607.0,-3.42,38.22,83.77,16.87,3.42,220.48,730.5,16.0338085,207.0
1155.0,-3.64,43.58,81.46,19.3,3.87,0.0,0.0,7.30950907,207.0
2570.0,-3.38,25.63,90.22,13.77,3.06,141.62,414.75,11.5716131,207.0
687.0,-2.56,31.94,84.6,18.34,2.94,0.0,190.22,14.6573346,207.0
2407.0,-3.62,37.99,88.25,15.51,3.55,0.0,0.0,13.8504589,211.0
1812.0,-3.62,35.95,89.1,13.65,4.0,0.0,0.0,14.6829984,211.0
3854.0,-2.02,25.88,84.26,9.69,3.96,0.0,0.0,0.23859872,211.0
671.0,-3.88,40.32,95.87,15.98,3.73,0.0,0.0,8.36511696,211.0
4349.0,-3.41,38.48,87.25,15.15,3.88,0.0,448.47,10.4303783,214.0
1217.0,-1.28,41.12,99.48,16.44,4.14,0.0,0.0,16.1567668,214.0
2557.0,-5.48,41.17,92.57,16.31,4.18,0.0,0.0,9.4118631,214.0
363.0,-3.48,37.35,99.87,16.23,3.69,0.0,0.0,15.4502,214.0
2548.0,-2.98,22.76,100.92,12.25,2.91,0.0,0.0,28.7807045,220.0
3826.0,-3.68,35.88,91.18,16.06,3.27,0.0,0.0,19.8701763,220.0
795.0,-2.77,39.65,96.46,16.43,3.58,0.0,544.56,9.80903745,220.0
2410.0,-3.51,36.33,74.07,16.06,3.45,0.0,0.0,18.9050607,3.0
3.0,-3.28,27.68,102.13,11.72,3.77,0.0,587.06,7.47093197,3.0
311.0,-3.98,34.85,96.39,16.24,3.26,0.0,446.78,19.5705623,3.0
781.0,-4.07,22.47,69.03,12.59,2.8,0.0,0.0,18.1392581,3.0
1026.0,-2.7,25.64,86.8,14.25,2.87,0.0,531.08,21.7799592,3.0
4326.0,-3.08,35.86,85.08,14.92,3.71,0.0,0.0,12.2201584,36.0
36.0,-2.45,45.56,122.61,17.3,4.39,0.0,701.28,45.4699306,36.0
770.0,-3.72,44.87,79.99,16.53,4.1,0.0,0.0,22.8121427,36.0
972.0,-3.06,31.94,96.05,15.87,3.45,127.51,589.71,19.8864101,36.0
1514.0,-3.52,45.14,117.67,13.67,5.14,0.0,0.0,25.7916728,208.0
2221.0,-3.52,29.16,94.23,15.72,2.91,0.0,0.0,22.973494,208.0
4378.0,-3.52,33.23,83.29,15.69,3.04,0.0,0.0,8.05721899,208.0
346.0,-2.5,41.1,62.17,12.85,4.38,134.88,316.96,29.8352874,208.0
856.0,-4.39,22.01,90.78,13.58,2.79,274.81,362.48,4.03879382,208.0
1099.0,-3.68,39.61,105.48,19.3,3.24,0.0,0.0,28.8068855,208.0
1502.0,-3.36,29.94,104.75,12.21,4.07,0.0,0.0,13.8942265,20.0
4384.0,-3.36,36.91,98.56,15.45,3.49,0.0,0.0,16.4223455,20.0
225.0,-3.98,32.87,101.88,12.41,4.25,97.79,337.19,12.491629,20.0
694.0,-2.59,53.12,102.06,15.72,4.67,0.0,313.59,16.3928954,20.0
1030.0,-3.5,37.91,102.99,14.59,4.51,0.0,480.8,7.00978052,20.0
1451.0,-2.9,41.31,86.89,15.19,4.22,0.0,351.52,14.9584956,21.0
4248.0,-3.66,49.53,96.73,16.96,4.76,0.0,436.66,24.3839298,21.0
21.0,-4.42,35.53,100.55,12.9,3.9,0.0,0.0,11.8813112,21.0
1415.0,-4.37,45.53,100.71,18.87,3.61,0.0,0.0,11.7184193,59.0
272.0,-3.68,38.32,96.56,14.06,4.26,0.0,0.0,16.7863901,59.0
852.0,-4.24,47.52,73.96,16.56,4.22,0.0,384.4,11.5361614,59.0
924.0,-4.1,35.13,115.55,14.54,3.83,67.44,358.87,26.8187219,59.0
1420.0,-4.44,37.07,70.78,16.84,3.24,0.0,0.0,15.7435051,169.0
2216.0,-4.32,35.31,65.33,14.57,3.86,0.0,0.0,16.2553283,169.0
4310.0,-4.32,26.19,84.91,11.28,3.32,0.0,0.0,12.4479855,169.0
769.0,-4.32,30.5,117.32,8.36,5.36,136.56,349.23,5.53819731,169.0
982.0,-4.2,48.34,85.16,18.45,4.4,132.82,398.45,26.0847948,169.0
