individuo_id,area_foliar_especifica_6,area_foliar_individual_6,comprimento_foliar_6,largura_foliar_6,potencial_hidrico_foliar_6,ima_6,densidade_estomatica_adaxial_6,densidade_estomatica_abaxial_6,progenie
2564.0,130.81,41.19,12.38,4.66,-2.3,0.1575633937,82.0,458.8,84.0
3081.0,106.51,27.83,11.0,3.99,,0.007639437268,132.3,394.8,84.0
3767.0,102.7,48.22,13.17,4.92,-2.19,1.718730146,155.7,428.2,84.0
587.0,,,,,-2.45,0.7703099246,126.8,372.6,87.0
1190.0,92.36,14.8,7.14,2.97,-1.5,0.01396186738,0.0,0.0,87.0
2406.0,132.93,22.72,8.74,4.12,-1.68,0.02005352283,43.4,645.6,87.0
2439.0,149.9,33.18,11.96,4.19,-1.78,0.1160239535,0.0,330.3,87.0
3430.0,129.48,25.32,8.81,4.34,,0.2193354059,0.0,0.0,87.0
4015.0,,,,,-1.9,0.0,0.0,0.0,87.0
536.0,173.25,35.48,9.68,4.94,-1.84,1.700968454,0.0,601.9,88.0
1193.0,,,,,-2.7,0.1160239535,0.0,579.9,88.0
1822.0,140.52,43.97,10.45,6.08,-2.8,1.424082621,0.0,274.7,88.0
2703.0,155.31,20.79,9.29,3.66,-2.15,0.07703099246,0.0,405.9,88.0
3244.0,110.92,18.12,6.99,4.12,,0.0,0.0,406.5,88.0
3872.0,143.87,26.96,8.58,4.43,-2.3,0.9167324722,0.0,501.0,88.0
468.0,123.42,22.57,8.1,3.9,-2.2,0.2144612858,0.0,456.0,89.0
1116.0,,,,,-2.3,0.2047130456,0.0,0.0,89.0
1786.0,154.58,23.13,8.28,3.66,-2.2,0.02084531867,0.0,540.6,89.0
2502.0,114.69,29.36,8.75,5.09,-2.2,0.2987656592,0.0,390.8,89.0
3212.0,118.81,29.91,10.83,4.63,,0.5917380784,0.0,305.8,89.0
3941.0,149.03,30.8,8.86,4.79,-2.41,0.05027306765,0.0,0.0,89.0
560.0,128.87,35.94,10.84,4.87,-1.75,0.4967703239,0.0,283.0,90.0
1114.0,,,,,-2.4,0.1271568418,0.0,337.0,90.0
2025.0,133.29,28.46,9.59,4.06,-2.4,0.1403746598,0.0,304.7,90.0
2503.0,139.69,35.63,10.04,5.31,-2.68,0.7611425998,0.0,371.2,90.0
3144.0,144.58,27.45,9.1,4.39,,0.991833711,0.0,417.8,90.0
3820.0,145.14,34.03,9.78,5.36,-2.2,1.379873357,0.0,409.3,90.0
446.0,,34.94,9.97,4.95,-2.52,1.8872434,51.4,563.3,91.0
1126.0,116.92,43.04,11.06,5.58,-2.2,0.7878169683,13.9,600.0,91.0
1766.0,117.38,43.86,12.59,5.74,-2.3,1.546986047,26.4,0.0,91.0
2430.0,125.72,37.26,9.91,5.53,-2.75,2.492111761,0.0,627.2,91.0
3166.0,127.92,23.39,8.02,4.29,,0.4630613069,184.9,0.0,91.0
3891.0,128.63,30.75,9.65,4.32,-2.25,0.5470951169,37.1,461.5,91.0
655.0,,58.14,12.38,6.54,-1.85,2.615409095,0.0,354.0,92.0
1133.0,88.4,22.6,8.14,3.73,-2.16,0.2165780466,0.0,374.4,92.0
1993.0,136.01,39.67,9.12,5.96,-2.5,0.7007910454,0.0,460.1,92.0
2640.0,143.42,35.65,10.33,4.94,-2.36,1.553352245,0.0,575.5,92.0
3295.0,129.36,38.51,10.05,5.26,,1.286767715,0.0,456.0,92.0
3809.0,128.33,63.74,13.98,6.8,-2.12,1.231322112,70.1,435.3,92.0
513.0,127.0,35.31,10.87,5.03,-2.2,2.63679952,117.3,359.8,110.0
1317.0,,,,,-2.2,0.04512042637,1.1,422.6,110.0
1989.0,164.97,16.72,8.08,3.06,-2.6,0.009668662793,0.0,0.0,110.0
2495.0,143.48,29.34,9.5,4.63,-1.9,0.7823460171,83.4,439.3,110.0
3379.0,124.39,33.45,9.59,4.84,,0.7486648523,0.0,492.5,110.0
3901.0,146.34,26.74,9.04,4.24,-2.2,0.1183476157,0.0,419.3,110.0
572.0,131.71,27.88,9.78,4.21,-1.97,0.2887707287,133.5,404.1,121.0
1285.0,132.02,37.31,12.54,4.44,-2.6,2.694174877,122.3,422.6,121.0
1771.0,187.36,13.83,6.42,2.88,-3.16,0.2178831171,0.0,613.5,121.0
2620.0,101.65,21.19,10.15,3.7,-1.68,0.1833464944,112.4,340.0,121.0
3206.0,140.15,42.16,11.78,5.37,-2.42,1.589062635,0.0,0.0,121.0
