progenie,genotipo,cruzamento
176,AEC2197xVT4,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla x E. grandis)
177,I3000xVM1,(E. camaldulensis) x (E. urophylla x E. camaldulensis)
178,I3000xVM4,(E. camaldulensis) x (E. urophylla HE)
179,I3000xVS2,(E. camaldulensis) x (E. camaldulensis)
180,I3000xVS62,(E. camaldulensis) x (E. camaldulensis)
181,I3000xCNB16,(E. camaldulensis) x (E. urophylla HE)
182,I3000xRES,(E. camaldulensis) x (E. resinifera)
183,I3000xTER,(E. camaldulensis) x (E. tereticornis)
184,VM7xVM4,(E. urophylla HE) x (E. urophylla HE)
185,VM7xPEL,(E. urophylla HE) x (E. pellita)
186,VM7xVS2,(E. urophylla HE) x (E. camaldulensis)
187,VM7xVCC1006,(E. urophylla HE) x (E. urophylla x E. grandis)
188,VM7xVCC2880,(E. urophylla HE) x (E. urophylla x E. grandis)
189,VM7xVS62,(E. urophylla HE) x (E. camaldulensis)
190,VM7xCNB16,(E. urophylla HE) x (E. urophylla HE)
191,VM7xCAM,(E. urophylla HE) x (E. camaldulensis)
192,VM4xVCC1006,(E. urophylla HE) x (E. urophylla x E. grandis)
193,VM4xCNB16,(E. urophylla HE) x (E. urophylla HE)
194,VM4xVM7,(E. urophylla HE) x (E. urophylla HE)
195,VM4xLON,(E. urophylla HE) x (E. longirostrata)
196,VM4xVCC2880,(E. urophylla HE) x (E. urophylla x E. grandis)
197,VM4xVT4,(E. urophylla HE) x (E. urophylla x E. grandis)
198,VM4xVS2,(E. urophylla HE) x (E. camaldulensis)
199,VM4xCAM,(E. urophylla HE) x (E. camaldulensis)
200,VM4xPEL,(E. urophylla HE) x (E. pellita)
201,VM4xBRA,(E. urophylla HE) x (E. brassiana)
202,VM4xTER,(E. urophylla HE) x (E. tereticornis)
203,VM4xRES,(E. urophylla HE) x (E. resinifera)
204,VM7xVM7,(E. urophylla HE) x (E. urophylla HE)
205,VM4xBRA,(E. urophylla HE) x (E. brassiana)
206,VM7xLON,(E. urophylla HE) x (E. longirostrata)
207,VM7xTER,(E. urophylla HE) x (E. tereticornis)
208,VM1xVT4,(E. urophylla x E. camaldulensis) x (E. urophylla x E. grandis)
209,VM1xVS2,(E. urophylla x E. camaldulensis) x (E. camaldulensis)
210,VM1xVM7,(E. urophylla x E. camaldulensis) x (E. urophylla HE)
211,VM1xCNB16,(E. urophylla x E. camaldulensis) x (E. urophylla HE)
212,VM1xBRA,(E. urophylla x E. camaldulensis) x (E. brassiana)
213,VM1xRES,(E. urophylla x E. camaldulensis) x (E. resinifera)
214,VM1xCAM,(E. urophylla x E. camaldulensis) x (E. camaldulensis)
215,VM1xTER,(E. urophylla x E. camaldulensis) x (E. tereticornis)
216,VM1xVCC1006,(E. urophylla x E. camaldulensis) x (E. urophylla x E. grandis)
217,VM1xLON,(E. urophylla x E. camaldulensis) x (E. longirostrata)
218,VM1xPEL,(E. urophylla x E. camaldulensis) x (E. pellita)
219,VM1xVCC2880,(E. urophylla x E. camaldulensis) x (E. urophylla x E. grandis)
220,VM1xVM4,(E. urophylla x E. camaldulensis) x (E. urophylla HE)
