individuo_id,progenie,cap,altura,dap,volume,ima,resistente
3840,111,1.5,1.45,0.4775,1.2e-05,0.025962,1
4007,111,4.5,2.25,1.4324,0.000163,0.362575,1
4375,111,2.8,2.95,0.8913,8.3e-05,0.184047,1
112,112,2.6,2.0,0.8276,4.8e-05,0.107589,1
396,112,6.0,3.25,1.9099,0.000419,0.931056,1
451,112,8.5,3.65,2.7056,0.000944,2.098557,1
843,112,10.2,4.3,3.2468,0.001602,3.560073,1
920,112,7.9,3.5,2.5146,0.000782,1.73825,1
1312,112,7.3,3.25,2.3237,0.00062,1.378222,1
1330,112,5.4,2.5,1.7189,0.000261,0.58012,1
1649,112,4.0,2.25,1.2732,0.000129,0.286479,1
1883,112,4.5,2.25,1.4324,0.000163,0.362575,1
2158,112,6.0,3.5,1.9099,0.000451,1.002676,1
2408,112,3.8,2.2,1.2096,0.000114,0.252802,1
2517,112,,,,,,0
2695,112,4.7,2.3,1.4961,0.000182,0.404309,1
2867,112,,0.9,,,,0
3269,112,4.0,2.3,1.2732,0.000132,0.292845,1
3484,112,6.1,2.8,1.9417,0.000373,0.829102,1
3737,112,7.4,3.3,2.3555,0.000647,1.438029,1
3921,112,3.7,2.0,1.1777,9.8e-05,0.217883,1
4132,112,4.0,2.0,1.2732,0.000115,0.254648,1
4202,112,1.5,1.6,0.4775,1.3e-05,0.028648,1
113,113,7.5,3.7,2.3873,0.000745,1.656206,1
278,113,4.6,2.75,1.4642,0.000208,0.463061,1
538,113,6.0,3.4,1.9099,0.000438,0.974028,1
700,113,5.9,3.0,1.878,0.000374,0.831028,1
962,113,8.9,3.25,2.833,0.000922,2.048583,1
1280,113,5.0,2.5,1.5915,0.000224,0.497359,1
1366,113,6.4,3.25,2.0372,0.000477,1.059335,1
1746,113,5.3,3.0,1.687,0.000302,0.670599,1
1775,113,1.1,1.5,0.3501,6e-06,0.014443,1
1997,113,7.0,3.25,2.2282,0.00057,1.267271,1
2295,113,5.5,3.25,1.7507,0.000352,0.782346,1
2546,113,7.1,3.55,2.26,0.000641,1.424083,1
2724,113,6.2,3.15,1.9735,0.000434,0.963572,1
2976,113,,0.85,,,,0
3129,113,9.0,3.95,2.8648,0.001146,2.546081,1
3347,113,7.5,3.1,2.3873,0.000624,1.387632,1
3696,113,7.0,3.3,2.2282,0.000579,1.286768,1
3904,113,7.2,3.5,2.2918,0.00065,1.443854,1
4003,113,5.5,3.0,1.7507,0.000325,0.722166,1
4281,113,4.0,2.7,1.2732,0.000155,0.343775,1
114,114,7.0,3.5,2.2282,0.000614,1.364754,1
282,114,2.5,1.8,0.7958,4e-05,0.089525,1
574,114,6.4,2.75,2.0372,0.000403,0.896361,1
772,114,,0.91,,,,0
953,114,5.5,2.75,1.7507,0.000298,0.661985,1
1311,114,3.8,2.5,1.2096,0.000129,0.287275,1
1435,114,5.2,3.0,1.6552,0.00029,0.645532,1
1632,114,5.4,2.8,1.7189,0.000292,0.649734,1
1798,114,4.6,2.6,1.4642,0.000197,0.437803,1
2181,114,2.6,2.9,0.8276,7e-05,0.156004,1
2414,114,6.9,3.2,2.1963,0.000546,1.212379,1
2438,114,4.5,2.5,1.4324,0.000181,0.402861,1
2680,114,4.4,2.65,1.4006,0.000184,0.408264,1
2971,114,2.6,1.9,0.8276,4.6e-05,0.102209,1
3188,114,6.0,3.3,1.9099,0.000425,0.94538,1
3470,114,7.2,3.25,2.2918,0.000603,1.340721,1
3613,114,6.5,2.8,2.069,0.000424,0.941401,1
3949,114,,,,,,0
4038,114,1.7,1.75,0.5411,1.8e-05,0.040246,1
4255,114,5.0,2.75,1.5915,0.000246,0.547095,1
115,115,7.5,4.0,2.3873,0.000806,1.790493,1
325,115,5.8,3.7,1.8462,0.000446,0.990485,1
509,115,3.0,1.8,0.9549,5.8e-05,0.128916,1
690,115,3.7,2.25,1.1777,0.00011,0.245119,1
985,115,4.2,2.15,1.3369,0.000136,0.301806,1
1268,115,10.3,3.8,3.2786,0.001444,3.208102,1
1515,115,6.4,3.25,2.0372,0.000477,1.059335,1
1594,115,6.0,3.0,1.9099,0.000387,0.859437,1
1856,115,,,,,,0
1999,115,8.4,3.0,2.6738,0.000758,1.684496,1
2369,115,,1.25,,,,0
2454,115,,1.23,,,,0
2821,115,,1.3,,,,0
2908,115,2.7,1.75,0.8594,4.6e-05,0.101521,1
3110,115,3.3,2.35,1.0504,9.2e-05,0.203651,1
3348,115,6.2,3.1,1.9735,0.000427,0.948277,1
3643,115,,,,,,0
3847,115,4.7,2.25,1.4961,0.000178,0.39552,1
3970,115,2.8,2.1,0.8913,5.9e-05,0.131016,1
4279,115,2.7,1.95,0.8594,5.1e-05,0.113123,1
116,116,,1.2,,,,0
314,116,,,,,,0
612,116,1.7,1.7,0.5411,1.8e-05,0.039096,1
797,116,1.0,1.35,0.3183,5e-06,0.010743,1
1005,116,,0.9,,,,0
1316,116,3.9,2.25,1.2414,0.000123,0.272334,1
1379,116,4.4,2.25,1.4006,0.000156,0.346639,1
1568,116,4.0,2.15,1.2732,0.000123,0.273747,1
1834,116,7.2,3.5,2.2918,0.00065,1.443854,1
2081,116,4.6,2.75,1.4642,0.000208,0.463061,1
2305,116,3.8,2.15,1.2096,0.000111,0.247056,1
2462,116,3.2,1.8,1.0186,6.6e-05,0.146677,1
2800,116,4.6,2.25,1.4642,0.00017,0.378868,1
3074,116,5.0,2.25,1.5915,0.000201,0.447623,1
3262,116,4.5,2.85,1.4324,0.000207,0.459261,1
3415,116,,1.25,,,,0
3732,116,6.0,2.95,1.9099,0.00038,0.845113,1
3836,116,6.5,2.9,2.069,0.000439,0.975023,1
3969,116,1.6,1.55,0.5093,1.4e-05,0.031576,1
4220,116,,1.25,,,,0
117,117,9.5,3.95,3.0239,0.001277,2.836837,1
438,117,2.3,1.8,0.7321,3.4e-05,0.075774,1
616,117,6.4,2.75,2.0372,0.000403,0.896361,1
880,117,7.8,3.55,2.4828,0.000773,1.71873,1
884,117,4.8,2.5,1.5279,0.000206,0.458366,1
1231,117,1.8,1.75,0.573,2e-05,0.04512,1
1345,117,4.8,2.5,1.5279,0.000206,0.458366,1
1565,117,,1.1,,,,0
1919,117,4.8,2.7,1.5279,0.000223,0.495036,1
2045,117,1.2,1.48,0.382,8e-06,0.01696,1
2210,117,4.5,2.9,1.4324,0.00021,0.467319,1
2638,117,,0.52,,,,0
2684,117,3.4,2.2,1.0823,9.1e-05,0.202381,1
2999,117,4.5,2.25,1.4324,0.000163,0.362575,1
3219,117,3.8,2.4,1.2096,0.000124,0.275784,1
3382,117,6.2,3.0,1.9735,0.000413,0.917687,1
3545,117,5.5,3.0,1.7507,0.000325,0.722166,1
3939,117,0.6,1.35,0.191,2e-06,0.003867,1
4052,117,4.3,2.8,1.3687,0.000185,0.411988,1
4239,117,2.3,1.7,0.7321,3.2e-05,0.071564,1
118,118,4.5,3.0,1.4324,0.000218,0.483433,1
337,118,,1.28,,,,0
623,118,7.0,3.5,2.2282,0.000614,1.364754,1
701,118,6.8,3.5,2.1645,0.00058,1.287882,1
1061,118,7.6,3.6,2.4192,0.000745,1.654702,1
1263,118,5.0,2.75,1.5915,0.000246,0.547095,1
1442,118,,1.15,,,,0
1570,118,5.0,2.5,1.5915,0.000224,0.497359,1
1770,118,2.0,1.75,0.6366,2.5e-05,0.055704,1
2080,118,,1.24,,,,0
2270,118,6.1,3.25,1.9417,0.000433,0.96235,1
2515,118,4.7,2.75,1.4961,0.000218,0.483413,1
2735,118,2.8,2.0,0.8913,5.6e-05,0.124777,1
3076,118,2.0,2.1,0.6366,3e-05,0.066845,1
3141,118,2.5,2.1,0.7958,4.7e-05,0.104445,1
3381,118,6.0,3.0,1.9099,0.000387,0.859437,1
3593,118,4.2,2.65,1.3369,0.000167,0.371993,1
3878,118,3.3,2.25,1.0504,8.8e-05,0.194985,1
4030,118,3.2,2.25,1.0186,8.3e-05,0.183346,1
4306,118,6.0,2.75,1.9099,0.000355,0.787817,1
119,119,6.3,3.5,2.0054,0.000497,1.10545,1
288,119,8.0,3.2,2.5465,0.000733,1.629747,1
